id,label
3926,0.00852777
3300,1.84683e-05
8105,0.985332
7494,0.999976
8378,0.461364
2407,2.73209e-05
181,0.999521
11130,0.230325
4753,0.775386
9310,0.999836
5850,0.510157
4154,4.27526e-05
11496,0.999777
5426,0.999949
8685,0.278761
7977,0.525345
2544,0.988817
4096,0.000215817
12095,0.00353415
11620,1.0974e-13
12018,2.13014e-05
9154,0.0206652
5407,0.999937
3765,0.999961
8974,0.923156
7729,0.777589
8546,0.11415
1694,0.114096
12278,0.998603
2584,0.0183165
9536,0.902778
8439,0.999997
2095,0.999909
6790,0.995639
4488,1.26528e-05
8732,0.999547
5782,0.992622
8279,0.997311
1127,2.57754e-06
8125,0.000922643
1703,0.984044
8443,0.094401
6372,0.0094243
4990,1.36245e-05
4508,3.25087e-06
6997,0.999743
2283,0.126278
2460,7.67375e-11
11908,0.0825218
9491,0.00271458
9296,0.28447
10218,4.11004e-16
694,0.958683
1596,0.000122087
8198,0.0450313
7186,0.0419583
8475,7.51231e-05
3828,0.999903
5046,0.999999
7711,0.999976
7895,1.72446e-06
12051,0.987983
5594,0.910804
1369,0.940534
3737,0.000300305
2927,0.978559
5578,0.0843275
9228,7.66552e-06
7070,0.0664295
879,0.937577
1407,0.00536855
2591,0.12333
3590,0.874291
9122,0.219178
2159,0.944191
4534,3.98739e-09
1392,0.685861
6777,0.00910348
10948,0.579894
11197,6.17673e-05
5217,0.256572
8019,0.991427
1486,0.99917
10151,0.185033
5205,1.95946e-05
11540,0.000206094
9649,0.999994
6744,0.254337
6188,0.997906
11283,0.997039
5326,0.0276687
1125,0.0955816
646,0.94838
4209,3.62988e-06
9374,9.32774e-06
8968,0.648673
8458,0.79628
2595,0.620424
1539,0.0243502
12194,4.08441e-05
1990,0.999885
1181,0.782924
10545,2.29064e-07
2282,0.0190564
7419,0.000156411
7701,0.650276
1305,0.987478
2877,0.99837
2849,0.192385
11707,0.98184
11063,0.999157
5875,0.0153842
1025,0.0497669
7201,3.39892e-12
10613,0.0976421
7642,0.999505
528,0.999072
452,0.647609
10756,0.979182
6171,0.310147
9801,3.57072e-06
8401,0.0639153
3644,0.120005
10248,0.0151352
6373,0.387867
2114,0.99989
3298,0.999959
11052,0.183427
6895,0.977634
8831,0.302613
3575,0.00437987
10280,0.0349011
5370,0.999142
4718,0.992119
11470,0.999153
8216,0.947361
2880,0.00127427
8126,0.930398
6422,0.987227
199,0.991394
10712,0.99901
11424,0.00717694
7676,8.35985e-05
5883,0.999663
3872,1.53312e-10
4163,0.0140422
3563,0.992705
4082,0.113079
4239,0.946234
6907,0.999581
5486,0.823466
10332,1.0
12193,0.0517974
5387,0.346758
9315,0.795828
8723,0.00440633
12402,2.71529e-06
7096,0.934641
7572,0.998894
12203,0.0125558
4401,0.996945
9874,0.0032274
9305,0.0147576
11218,0.996905
12029,0.0625246
11905,1.73631e-06
8845,9.98164e-06
9349,0.000214746
5987,0.00686355
2021,0.000165776
875,0.988998
6720,0.997753
1536,1.0
4856,0.999885
184,0.148449
8294,1.58504e-08
5586,0.988968
2884,0.0630003
5595,0.0252689
3839,3.09567e-05
8432,2.84867e-11
5060,0.999853
9415,0.218481
429,0.999681
9309,0.9285
3842,0.000279951
10216,0.16756
4481,0.0405037
659,0.0102529
9329,0.0118551
4912,0.994714
3319,0.8917
1936,0.114325
1971,1.13374e-07
12438,0.999723
1547,0.292749
6213,0.0514012
7918,0.987769
7116,0.999774
5855,0.871316
11740,0.999886
